id,ra_deg,dec_deg,mag,x,y,z,u,v
411,0.00001194,-0.00001117,9.83,1,2.0847043368e-07,-1.95020728282e-07,243.555,311.513
421,0.00000000,0.00000000,8.83,1,0,0,320.000,240.000
479,359.99995935,-0.00000559,10.07,1,-7.09471960537e-07,-9.75103641408e-08,580.158,275.756
498,359.99997929,0.00000520,7.93,1,-3.61460833066e-07,9.07855114414e-08,452.545,206.710
503,0.00004431,-0.00000867,7.89,1,7.73358060427e-07,-1.51309185736e-07,36.415,295.484
506,0.00001801,-0.00000096,8.66,1,3.14386863695e-07,-1.68121317484e-08,204.717,246.165
508,359.99997120,-0.00002495,6.65,1,-5.02682739235e-07,-4.35434212284e-07,504.330,399.671
549,0.00003920,-0.00002341,11.55,1,6.8425376216e-07,-4.08534801486e-07,69.089,389.807
550,359.99996253,-0.00002427,8.62,1,-6.5399192486e-07,-4.2366572006e-07,559.814,395.355
561,0.00001320,-0.00001098,11.79,1,2.30326204953e-07,-1.91658301932e-07,235.541,310.280
575,359.99998382,-0.00001310,10.41,1,-2.82443813471e-07,-2.28644991778e-07,423.570,323.843
590,0.00000963,-0.00000539,8.86,1,1.68121317484e-07,-9.41479377911e-08,258.351,274.523
613,0.00003073,0.00000222,8.46,1,5.36307002774e-07,3.86679030214e-08,123.340,225.821
648,359.99997871,0.00000809,7.18,1,-3.71548111634e-07,1.41221906687e-07,456.244,188.215
650,0.00003169,0.00002639,7.54,1,5.53119134523e-07,4.60652409907e-07,117.175,71.082
683,0.00003526,-0.00003217,8.72,1,6.15324021992e-07,-5.61525200397e-07,94.365,445.907
694,0.00003535,-0.00001406,8.95,1,6.17005235167e-07,-2.45457123527e-07,93.749,330.007
707,359.99996378,0.00001522,9.10,1,-6.32136153445e-07,2.65631681625e-07,551.800,142.595
735,359.99997149,-0.00000674,9.23,1,-4.97639099951e-07,-1.17684922239e-07,502.481,283.154
779,359.99997592,0.00001946,9.42,1,-4.20303293747e-07,3.39605061318e-07,474.122,115.469
783,0.00002110,-0.00000694,9.33,1,3.6818568529e-07,-1.21047348589e-07,184.989,284.387
784,0.00003574,-0.00001310,9.35,1,6.23730087866e-07,-2.28644991778e-07,91.283,323.843
796,359.99998160,-0.00001801,11.18,1,-3.21111717017e-07,-3.14386863695e-07,437.749,355.283
826,359.99998285,-0.00001532,8.61,1,-2.99255945602e-07,-2.673128948e-07,429.735,338.022
835,0.00000405,0.00000087,8.91,1,7.06109533433e-08,1.51309185736e-08,294.107,234.452
