id,ra_deg,dec_deg,u,v,mag,electrons_deposited
21009,359.99997534,-0.00003506,477.821,464.402,7.130,7.030238
21011,0.00002293,-0.00003265,173.276,448.990,9.390,0.876940
21032,359.99999210,-0.00001541,370.552,338.638,6.830,9.267658
21050,359.99999595,-0.00003477,345.893,462.553,8.510,1.972287
21060,0.00002350,-0.00002389,169.577,392.889,5.070,46.878100
21068,359.99997784,0.00001002,461.792,175.885,9.610,0.716094
21083,359.99995261,0.00001050,623.313,172.803,7.760,3.935229
21127,0.00001204,-0.00002225,242.939,382.409,9.480,0.807179
21133,0.00001792,-0.00001397,205.333,329.391,7.860,3.588971
21146,0.00003612,-0.00000732,88.817,286.853,8.110,2.850821
21158,359.99999624,-0.00002649,344.043,409.534,7.080,7.361563
21166,359.99996108,-0.00003477,569.062,462.553,8.610,1.798747
21168,0.00004383,-0.00000222,39.497,254.179,9.280,0.970443
21170,0.00002196,0.00001088,179.440,170.337,8.760,1.566643
21175,0.00002784,-0.00001849,141.835,358.366,9.340,0.918269
21180,359.99996619,-0.00002293,536.388,386.724,8.110,2.850821
21185,0.00000000,0.00000000,320.000,240.000,12.790,0.038280
21201,359.99998651,-0.00002312,406.308,387.957,9.040,1.210515
21210,359.99997563,-0.00001358,475.972,326.925,8.370,2.243727
21217,0.00003583,0.00001840,90.666,122.251,9.170,1.073915
21234,0.00003131,-0.00002649,119.641,409.534,8.790,1.523947
21250,359.99996552,0.00000462,540.703,210.409,7.940,3.334034
21263,359.99996002,-0.00003477,575.843,462.553,8.810,1.496132
21265,359.99997428,-0.00000424,484.603,267.126,9.470,0.814648
21268,359.99996821,0.00002013,523.441,111.154,8.940,1.327303
21311,0.00004470,-0.00002697,33.949,412.617,8.650,1.733684
21326,359.99999547,-0.00003352,348.975,454.538,8.910,1.364489
21331,359.99997698,0.00000212,467.341,226.437,9.650,0.690192
21345,359.99997756,-0.00000491,463.642,271.441,8.530,1.936288
21356,359.99995839,-0.00001936,586.323,363.914,8.150,2.747704
21382,359.99995868,-0.00001272,584.474,321.377,7.800,3.792888
21385,359.99996869,-0.00001994,520.359,367.613,9.630,0.703024
21387,359.99996975,-0.00001618,513.578,343.570,7.740,4.008390
21398,0.00003323,0.00001907,107.311,117.935,8.950,1.315134
21400,0.00000501,0.00000183,287.943,228.287,8.520,1.954204
21404,359.99995781,-0.00003179,590.022,443.441,9.330,0.926766
21435,0.00002225,0.00001031,177.591,174.036,7.830,3.689521
21462,359.99997707,0.00003660,466.724,5.734,10.540,0.304068
21464,0.00002427,-0.00003448,164.645,460.703,9.770,0.617974
21481,359.99997120,-0.00003160,504.330,442.208,8.630,1.765916
21484,359.99995020,0.00001137,638.725,167.254,7.080,5.835022
21507,0.00002254,-0.00003285,175.742,450.223,8.010,3.125863
21520,359.99995925,-0.00000973,580.775,302.265,8.090,2.903822
21544,359.99999364,0.00002206,360.688,98.824,7.350,5.740768
21568,0.00004113,-0.00001156,56.759,313.979,8.510,1.972287
21569,359.99995434,0.00000212,612.216,226.437,8.670,1.702041
21575,0.00002726,-0.00002938,145.534,428.029,7.000,7.924466
21584,359.99996234,-0.00003343,561.047,453.922,8.220,2.576143
21607,0.00002813,0.00000539,139.985,205.477,8.730,1.610534
21614,359.99997881,-0.00002659,455.628,410.151,7.970,3.243172
21615,0.00003718,0.00000857,82.035,185.132,8.760,1.566643
21621,359.99998594,-0.00002630,410.007,408.302,8.450,2.084347
21627,0.00001522,-0.00002370,222.595,391.656,8.320,2.349471
21636,359.99998940,0.00000125,387.814,231.986,8.270,2.460198
21641,359.99996214,0.00000453,562.280,211.025,9.930,0.533298
21647,359.99996667,-0.00003343,533.305,453.922,8.400,2.182579
21658,359.99996966,-0.00001599,514.194,342.337,9.050,1.199416
21661,0.00000202,0.00000645,307.054,198.695,9.560,0.749842
21667,359.99996340,-0.00003535,554.266,466.251,8.720,1.625436
21677,0.00000453,-0.00001763,291.025,352.818,8.540,1.918536
21692,0.00002745,0.00002110,144.301,104.989,8.120,2.824685
21695,359.99995415,-0.00001011,613.449,304.731,7.720,4.082912
21700,359.99998083,-0.00003208,442.681,445.291,8.460,2.065238
21714,359.99997746,0.00002196,464.258,99.440,9.150,1.093881
21728,359.99996214,0.00001560,562.280,140.129,8.050,3.012798
21729,359.99995598,-0.00002871,601.736,423.714,7.900,3.459155
21737,359.99997640,-0.00001589,471.040,341.721,7.980,3.213439
21779,359.99996725,-0.00000992,529.606,303.498,9.120,1.124527
21795,359.99999682,-0.00000694,340.344,284.387,7.670,4.275334
21810,359.99998950,-0.00002408,387.197,394.122,8.880,1.402717
21820,359.99998555,0.00000877,412.473,183.899,9.960,0.518764
21831,0.00003949,-0.00000193,67.239,252.330,10.210,0.412069
21854,359.99996802,-0.00002514,524.674,400.904,8.700,1.655656
21858,359.99998680,-0.00003054,404.459,435.427,10.420,0.339602
21871,359.99997062,0.00001040,508.029,173.419,8.440,2.103633
21875,359.99996205,-0.00002331,562.897,389.190,10.770,0.246020
21890,0.00001955,-0.00001994,194.853,367.613,9.880,0.558432
21900,0.00002476,-0.00002341,161.562,389.807,7.750,3.971641
21902,0.00001878,-0.00001127,199.785,312.129,8.020,3.097205
21903,359.99999191,-0.00001185,371.785,315.828,7.960,3.273181
21904,0.00001194,0.00000857,243.555,185.132,8.160,2.722513
21907,359.99999721,-0.00000838,337.878,293.635,7.890,3.491162
21917,0.00003988,-0.00002427,64.774,395.355,9.870,0.563599
21919,0.00002264,-0.00000443,175.125,268.358,9.660,0.683864
21924,359.99998401,0.00001435,422.337,148.143,9.470,0.814648
21936,359.99998045,-0.00002418,445.147,394.739,7.850,3.622180
21944,359.99999364,-0.00003593,360.688,469.950,8.320,2.349471
21947,359.99998719,-0.00003304,401.993,451.456,8.630,1.765916
21955,0.00001580,-0.00000857,218.896,294.868,8.780,1.538048
21989,359.99996812,-0.00002379,524.058,392.273,9.200,1.044648
21995,359.99996532,-0.00001050,541.936,307.197,7.860,3.588971
22008,0.00003795,-0.00001676,77.103,347.269,9.040,1.210515
22010,0.00003054,0.00003217,124.573,34.093,9.270,0.979422
22017,359.99997187,0.00001435,500.015,148.143,8.520,1.954204
22024,0.00004277,0.00001455,46.279,146.910,5.780,24.376425
22080,0.00000356,-0.00000039,297.190,242.466,9.110,1.134932
22098,359.99998179,0.00000395,436.516,214.724,9.190,1.054314
22104,359.99995367,0.00000626,616.531,199.928,8.630,1.765916
22111,0.00000597,-0.00001532,281.778,338.022,9.630,0.703024
22112,0.00000241,0.00001137,304.588,167.254,8.390,2.202774
22132,0.00000183,-0.00000896,308.287,297.333,9.160,1.083852
22143,359.99998016,-0.00003275,446.997,449.606,8.240,2.529123
22161,359.99998700,-0.00001272,403.226,321.377,7.480,5.092957
22185,359.99998902,-0.00000106,390.280,246.781,9.640,0.696578
22205,0.00003063,0.00000337,123.956,218.423,7.620,4.476824
22210,359.99996609,-0.00000241,537.004,255.412,8.680,1.686437
