id,x,y,area,peak,snr
500,367.368621,464.598987,49,4.438677,1.397
501,46.213233,477.305509,28,4.454441,1.396
502,384.019496,71.588340,49,4.429066,1.395
503,517.252076,329.564278,49,4.437140,1.395
504,32.104955,40.262471,49,4.459054,1.394
505,425.904086,405.955058,49,3.449443,1.394
506,351.237047,170.913343,49,5.449058,1.394
507,336.319409,162.917430,49,4.448289,1.394
508,361.919140,120.995019,49,3.440600,1.394
509,263.059733,446.570937,49,3.427528,1.393
510,61.451589,272.050726,49,4.450596,1.393
511,114.317111,306.120786,49,3.430219,1.393
512,384.268037,356.486462,49,3.430988,1.393
513,326.502928,299.307044,49,4.450596,1.393
514,194.667219,42.958426,49,4.435986,1.393
515,551.877189,209.234336,49,4.474433,1.393
516,299.423926,101.379368,49,6.422145,1.393
517,563.747349,62.656343,49,3.428297,1.392
518,478.693006,429.454106,49,4.407151,1.392
519,576.989188,287.280288,49,5.462899,1.392
520,269.770563,320.862424,49,3.440215,1.392
521,345.102705,23.620991,49,4.424452,1.392
522,5.155558,274.087538,49,4.414840,1.391
523,181.000000,384.000000,49,4.417147,1.391
524,392.260181,417.993484,49,4.449443,1.390
525,619.102184,470.837147,49,5.465590,1.390
526,399.836244,342.947880,49,2.454825,1.390
527,583.631288,113.187689,49,3.484429,1.390
528,529.994122,161.501476,49,4.445213,1.390
529,84.091684,115.966936,49,5.407151,1.390
530,111.207854,222.505928,49,3.392541,1.389
531,294.000000,341.000000,49,4.443676,1.389
532,249.825653,466.611665,49,4.407920,1.389
533,363.215461,199.257158,49,4.452903,1.388
534,159.810724,81.485866,49,3.431373,1.388
535,-11.880867,15.436823,28,2.463283,1.388
536,562.183571,349.001146,49,4.446367,1.387
537,51.174707,188.637389,49,5.419070,1.387
538,64.422405,396.793851,49,4.438293,1.387
539,567.406447,223.338970,49,4.480969,1.386
540,140.023669,86.759041,49,3.444060,1.386
541,582.906429,378.319258,49,3.409842,1.386
542,99.639620,468.790351,49,5.452134,1.385
543,94.767483,315.798878,49,6.415994,1.384
544,91.273486,422.284942,49,5.429066,1.384
545,521.246703,179.902541,49,3.452518,1.384
546,530.325989,5.317790,49,4.440215,1.383
547,46.320058,331.865353,49,3.468281,1.383
548,295.676707,-0.272696,28,3.449443,1.383
549,74.359291,100.923187,49,4.428681,1.383
550,66.027256,468.957563,49,5.414840,1.383
551,587.148715,409.586295,49,2.425606,1.383
552,139.718509,122.390557,49,3.466744,1.383
553,530.419200,1.266717,28,3.451749,1.382
554,216.635832,459.267972,49,5.398693,1.381
555,292.226782,467.737095,49,3.391388,1.381
556,489.372906,37.900068,49,4.436755,1.381
557,591.844517,287.763708,49,3.459054,1.381
558,427.000000,479.000000,28,3.465590,1.380
559,205.747923,432.099070,49,4.419839,1.380
560,516.665101,175.841016,49,4.440215,1.380
561,590.527271,292.725580,49,2.441369,1.380
562,91.826128,13.647697,49,3.435217,1.380
563,587.012481,235.377352,49,7.454825,1.379
564,20.020395,407.826299,49,2.443291,1.379
565,43.232659,102.259110,49,4.434064,1.378
566,443.483921,74.527401,49,4.381392,1.378
567,81.672694,50.374099,49,4.436755,1.378
568,449.858114,132.571275,49,4.420223,1.377
569,7.844608,320.926955,49,6.489427,1.377
570,27.672868,338.839133,49,2.476355,1.376
571,501.869702,135.100895,49,4.418685,1.376
572,620.277323,264.486513,49,6.424452,1.376
573,303.013668,31.556368,49,5.425606,1.376
574,191.748227,476.777010,28,3.424837,1.375
575,28.043533,140.082005,49,4.407151,1.375
576,547.938230,304.909593,49,3.428681,1.375
577,309.760137,102.177210,49,4.410611,1.374
578,322.552765,40.798343,49,4.420607,1.374
579,133.455140,70.365268,49,4.466359,1.374
580,144.038422,65.636913,49,4.440600,1.374
581,495.000000,402.000000,49,3.425990,1.373
582,68.463229,422.196470,49,3.419839,1.373
583,190.696190,270.686236,49,5.417532,1.373
584,343.000000,302.000000,49,4.417147,1.373
585,422.614903,59.262483,49,3.414072,1.373
586,8.242608,40.073069,49,4.426759,1.373
587,390.744363,310.528428,49,3.433295,1.373
588,26.014016,397.946823,49,3.455594,1.373
589,628.128731,233.469469,49,4.456747,1.373
590,463.879464,194.090497,49,5.460592,1.373
591,263.613172,298.496379,49,5.397155,1.373
592,249.729706,409.416487,49,3.445982,1.372
593,638.083504,94.004237,28,3.482122,1.371
594,505.296625,332.213713,49,4.422530,1.371
595,121.342489,285.816776,49,4.434833,1.371
596,232.182063,453.497037,49,3.405229,1.371
597,255.244590,-1.287872,28,4.431757,1.370
598,397.365637,399.371504,49,4.451749,1.370
599,318.371772,24.298822,49,3.394079,1.370
600,36.897607,118.676629,49,3.437524,1.370
601,397.708449,234.713973,49,4.441369,1.370
602,191.119849,68.721287,49,3.412918,1.369
603,151.516577,37.628437,49,6.440984,1.369
604,501.293451,368.131051,49,3.409073,1.369
605,0.000000,348.000000,28,3.497885,1.369
