x,y,area
624.0,61.0,21
13.833333333333334,65.93055555555556,72
238.171875,64.9375,64
250.0,63.0,21
269.0,63.0,21
280.0,62.0,21
93.93548387096774,67.6774193548387,62
298.0,65.0,21
312.5,67.5,42
434.0,65.0,21
461.1875,66.85416666666667,48
58.5,67.5,42
68.5,69.5,42
169.0,67.0,21
201.0,67.5,40
222.56338028169014,70.28169014084507,71
275.0,66.0,21
476.0,67.30508474576271,59
502.0,67.0,21
511.0,69.0,43
577.5,69.0,42
589.0,67.0,21
595.0,66.0,21
620.5,68.5,40
3.840909090909091,69.86363636363636,44
138.0,69.0,21
149.95876288659792,73.78350515463917,97
331.0,69.0,21
376.2190476190476,74.88571428571429,105
486.0,69.0,21
187.0,70.0,21
246.0,70.0,21
269.0,71.0,21
352.0,71.0,21
384.5,72.5,36
441.5,72.5,36
635.0,73.0,41
76.0,73.0,21
118.0,73.0,21
160.725,74.3,40
196.51162790697674,74.02325581395348,43
364.0,72.0,21
396.0,73.0,35
427.54237288135596,72.96610169491525,59
553.0,73.0,21
585.0,72.0,21
57.0,75.0,21
88.54166666666667,77.86111111111111,72
104.05882352941177,76.74509803921569,51
112.0,75.0,21
234.0,75.0,21
262.0,75.0,21
318.0,74.0,21
543.0,74.0,21
134.0,77.0,21
276.0,76.0,21
311.0,77.0,21
390.0,79.28260869565217,46
421.03225806451616,78.33870967741936,62
479.2692307692308,78.73076923076923,52
595.3703703703703,78.68518518518519,54
609.5,79.5,42
34.0,80.0,35
174.0,78.0,41
333.921875,83.484375,64
451.0,79.0,21
498.6222222222222,80.08888888888889,45
620.0,79.0,21
62.03030303030303,80.57575757575758,33
68.5,82.5,36
80.0909090909091,81.0909090909091,22
195.65853658536585,81.8780487804878,41
205.0,80.0,21
214.0,81.0,31
409.5,81.0,36
463.0,81.0,21
12.5,84.5,36
266.82608695652175,82.0,23
284.4375,83.328125,64
304.0,82.0,21
318.0,82.0,21
400.0,83.0,21
440.0,84.0,41
508.0,82.0,21
538.0,82.0,21
547.0,85.0,41
560.0,82.0,21
636.8235294117648,84.47058823529412,34
123.5,86.5,42
148.05405405405406,86.4054054054054,37
232.85714285714286,86.69642857142857,56
247.9787234042553,88.81914893617021,94
311.375,87.75,56
360.4756097560976,88.2560975609756,82
493.0,84.0,21
521.5,84.0,26
568.0,84.0,21
585.0,87.5,42
5.0,86.0,21
181.22413793103448,92.01724137931035,116
202.0,86.0,21
295.39344262295083,89.01639344262296,61
409.0,87.0,21
448.0,87.0,21
456.27868852459017,89.04918032786885,61
486.0,87.0,21
592.0,87.0,21
627.0,86.0,21
103.04347826086956,90.6086956521739,46
162.01694915254237,90.30508474576271,59
218.0,89.0,21
266.0,89.0,23
322.0,88.0,21
415.0,88.0,21
532.0,88.0,21
539.9090909090909,87.9090909090909,22
91.0,91.0,21
275.0,90.0,21
349.0,92.5,42
435.77777777777777,91.24444444444444,45
573.5,90.0,36
624.5,91.5,36
19.0,92.0,21
34.0,92.0,21
46.7032967032967,97.53846153846153,91
141.5,94.5,36
283.0,93.0,21
326.5,94.0,40
461.6666666666667,95.66666666666667,63
82.46153846153847,95.05128205128206,39
126.02380952380952,95.38095238095238,42
210.0,94.0,21
398.0,95.0,21
444.0,94.0,21
514.0,96.5,36
564.0,95.0,21
18.877551020408163,98.58163265306122,98
199.0,96.0,21
258.0,97.0,21
422.0,96.0,21
428.5,96.0,26
557.0,96.0,21
578.0,96.0,21
638.1538461538462,97.0,13
66.25,100.60416666666667,48
97.0,99.0,21
218.5,101.0,40
234.0,98.0,21
318.5,100.5,42
334.5,100.0,40
375.0,99.0,21
434.5,100.5,42
485.37391304347824,106.01739130434783,115
611.719298245614,105.95614035087719,114
627.0,98.0,21
391.0857142857143,104.32857142857142,70
406.0,101.0,21
412.0,100.0,21
549.0,101.0,21
40.0,103.0,21
77.0,102.0,21
152.54347826086956,110.27826086956522,230
251.0,102.0,21
263.0,102.0,21
281.0,103.0,21
295.0,103.0,21
328.0,102.0,21
445.0,103.0,21
527.3166666666667,105.36666666666666,60
539.0,103.0,31
570.0,103.0,21
584.9787234042553,104.02127659574468,47
33.0,104.0,21
99.5,105.5,40
232.5,106.0,32
274.5,105.5,28
351.95384615384614,106.66153846153846,65
473.11538461538464,106.5,52
17.448275862068964,107.58620689655173,29
123.0,107.0,21
178.5,107.5,36
456.1666666666667,110.4888888888889,90
553.5333333333333,107.53333333333333,30
59.0,109.0,21
83.5,109.0,32
135.31147540983608,111.95081967213115,61
212.13953488372093,109.90697674418605,43
323.90909090909093,108.0909090909091,22
343.0,109.0,21
412.0,109.0,21
423.48837209302326,111.48837209302326,43
481.0,108.0,21
104.5,112.0,40
188.0,111.0,21
221.0,111.0,21
281.5,112.5,42
296.0,110.5,32
363.0,110.0,31
502.0,111.0,21
547.0,111.0,21
576.0,110.0,21
42.641975308641975,115.65432098765432,81
233.0,113.0,21
266.1714285714286,115.66666666666667,105
316.0,115.0,41
375.0,112.0,21
401.0,113.0,21
513.0,112.0,21
525.0,113.0,21
558.8691588785047,120.57943925233644,107
583.6506024096385,115.86746987951807,83
5.909090909090909,114.9090909090909,22
22.63302752293578,117.45871559633028,109
301.0,115.0,21
347.0,115.0,21
471.67123287671234,117.5068493150685,73
636.0,114.0,21
170.0,116.0,21
362.0,117.0,21
369.0,116.0,21
404.8119658119658,126.07692307692308,117
439.0,116.0,21
538.5,118.0,32
568.0,117.0,21
67.0,119.5,36
109.90963855421687,125.65060240963855,166
194.0,121.0,43
239.45945945945945,120.91891891891892,74
323.25,124.25,84
332.5,121.5,42
354.0,118.0,21
457.030303030303,118.57575757575758,33
518.8529411764706,122.57352941176471,68
624.5,120.5,36
77.0,121.0,21
85.5,121.0,36
93.0,120.0,21
127.95,122.0,40
251.0,120.0,21
377.0,120.0,21
389.5,121.5,40
422.0,121.0,21
429.5,120.5,28
5.618181818181818,124.21818181818182,55
56.473684210526315,123.6842105263158,57
145.0,123.0,21
166.0,123.0,21
184.0,123.0,21
272.0,122.0,21
506.44827586206895,122.58620689655173,29
208.0,125.0,21
290.0,125.0,21
297.73333333333335,127.96,75
482.0163934426229,127.73770491803279,61
257.0,126.0,21
350.0,127.0,21
370.0,127.0,21
384.0,127.0,21
446.5357142857143,129.95238095238096,84
575.0,126.0,21
592.672131147541,129.95081967213116,61
248.0,128.0,21
314.0,129.0,21
341.95,130.0,40
437.0,128.0,21
499.0,128.0,21
636.0,129.0,21
12.5,131.5,42
56.916666666666664,130.91666666666666,24
84.91752577319588,135.1237113402062,97
142.0,131.0,21
177.0,131.5,38
195.0,130.0,21
214.9056603773585,134.26415094339623,159
265.0,131.5,38
281.0,131.0,21
308.0,130.0,21
492.0,132.0,43
506.0,130.0,21
527.5,131.5,28
540.95,132.0,40
615.5,130.73214285714286,56
41.5,132.5,28
164.0,133.0,21
365.0,132.0,21
455.35483870967744,136.41935483870967,62
564.0,133.0,21
581.0,132.0,21
48.0,135.0,21
153.5,136.0,38
237.70886075949366,140.54430379746836,79
271.0,136.0,43
289.9767441860465,137.51162790697674,43
422.5,137.0,40
467.5,135.0,26
607.0,135.0,21
629.709090909091,135.61818181818182,55
322.327868852459,140.7377049180328,61
336.0,137.0,21
352.0,136.0,21
390.5,137.5,36
588.0,137.0,21
614.0,139.5,42
21.5,140.5,40
67.0,139.0,21
103.0,139.0,21
364.3188405797101,140.97101449275362,69
379.0,138.0,21
439.0,138.0,21
499.0,139.5,40
548.5813953488372,141.51162790697674,43
561.0,138.5,40
49.0,141.0,21
283.0,143.5,42
406.525,143.875,80
475.0,140.0,21
514.0,140.0,21
523.0,143.0,42
573.0,140.0,21
127.9672131147541,145.39344262295083,61
140.0,143.0,21
172.49411764705883,147.23529411764707,85
213.0,143.0,21
375.0,143.0,21
396.0,142.0,21
483.0,142.0,21
539.536,147.984,125
56.0,145.0,21
148.35087719298247,146.73684210526315,57
188.0,144.0,21
207.0,146.5,42
228.0909090909091,143.9090909090909,22
