truth_idx,truth_x,truth_y,det_idx,det_x,det_y,dist
1889,62.198,203.566,804,62.000,204.000,0.477
1929,149.510,204.492,805,147.500,205.500,2.249
2026,228.175,203.531,806,228.000,204.000,0.501
2757,326.488,205.211,807,326.000,205.000,0.531
3418,433.422,206.621,808,434.000,206.000,0.848
3473,497.853,205.367,809,498.000,205.000,0.396
3523,624.695,205.200,810,625.000,205.000,0.365
1865,6.787,207.969,811,5.000,207.000,2.033
1872,24.994,207.051,812,25.000,207.000,0.052
1876,32.681,206.521,813,33.000,207.000,0.575
1925,189.855,213.877,814,187.284,214.905,2.769
3396,423.878,206.356,815,424.000,206.000,0.377
3497,549.812,205.971,816,550.000,206.000,0.190
3515,574.046,207.194,817,575.000,207.500,1.001
3522,602.266,207.070,818,602.000,207.000,0.275
1890,106.908,209.756,819,106.500,209.500,0.481
1899,117.092,209.423,820,117.000,209.000,0.433
1919,156.021,208.700,821,156.000,209.000,0.301
2430,296.077,209.284,822,296.000,209.000,0.295
2958,345.026,208.409,823,345.000,208.000,0.410
3379,408.530,209.059,824,410.500,210.000,2.183
3502,538.189,208.586,825,535.500,209.000,2.720
3521,585.461,208.963,826,585.000,209.000,0.462
1921,170.539,210.938,827,171.000,211.000,0.465
1969,227.160,212.863,828,229.500,211.500,2.708
2037,249.140,210.647,829,248.815,213.296,2.669
2070,258.124,211.001,830,258.000,211.000,0.124
3409,418.929,209.547,831,419.000,210.000,0.458
3498,524.738,209.725,832,525.000,210.000,0.380
1893,131.685,212.373,833,132.000,212.000,0.488
2520,305.622,212.504,834,305.827,214.885,2.389
2766,325.284,215.028,835,323.889,214.000,1.733
3156,357.394,212.839,836,357.000,213.000,0.426
220,377.427,211.777,837,377.000,212.000,0.482
3467,454.551,213.176,838,455.000,213.000,0.482
3520,551.917,212.555,839,552.000,213.000,0.453
233,623.207,212.143,840,623.979,213.574,1.626
3531,632.173,211.548,841,632.000,212.000,0.484
1856,4.652,214.026,842,5.000,214.000,0.349
2121,272.369,213.880,843,274.488,214.535,2.219
2216,285.804,215.213,844,286.000,215.000,0.289
3499,492.809,214.457,845,493.000,214.000,0.496
3538,568.351,218.721,846,569.754,218.130,1.521
3530,584.663,215.170,847,583.965,216.053,1.125
3529,597.345,213.777,848,597.000,214.000,0.411
3549,616.525,218.692,849,615.500,216.500,2.420
1857,40.950,215.876,850,40.909,216.091,0.218
126,153.017,217.154,851,153.000,218.000,0.847
1948,221.025,215.794,852,220.917,215.917,0.164
3453,424.367,216.371,853,423.000,217.500,1.773
3464,438.005,216.030,854,438.000,216.000,0.030
3519,511.389,216.467,855,509.500,216.000,1.946
3524,527.164,216.748,856,527.000,217.000,0.301
1854,95.330,221.974,857,96.907,220.581,2.104
1871,145.638,220.916,858,144.000,220.000,1.877
1900,174.642,217.731,859,175.000,218.000,0.448
1951,236.670,219.022,860,237.000,219.000,0.331
3062,343.912,218.354,861,344.000,218.000,0.365
3354,372.545,218.849,862,372.500,219.500,0.652
3514,487.956,217.730,863,488.000,218.000,0.273
3527,545.575,217.513,864,546.000,218.000,0.646
1852,59.194,220.283,865,59.000,220.000,0.343
1834,109.353,230.088,866,109.567,226.944,3.150
1902,201.747,221.227,867,202.000,221.000,0.339
2634,316.255,220.293,868,316.000,220.000,0.388
3259,355.076,220.401,869,355.000,220.000,0.408
3318,361.631,220.967,870,362.000,221.000,0.371
3442,393.365,221.459,871,393.000,221.000,0.586
3496,453.475,219.801,872,453.000,220.000,0.515
3534,533.584,221.029,873,534.000,221.000,0.417
1841,5.810,221.601,874,6.000,222.000,0.442
1843,23.271,221.975,875,23.000,222.000,0.273
1980,264.559,222.959,876,263.500,223.000,1.059
2746,322.622,222.212,877,323.000,222.000,0.433
